Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
IC0521D0Q,M-4,16 23 34.825,-26 30 50.95,6,2013-03-07 00:23:06,2013-03-07 00:23:26,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-03-07 02:55:12,IC0521D0Q,,,0.694
IC0561010,M-4,16 23 36.799,-26 32 09.06,6,2013-06-11 07:34:34,2013-06-11 08:16:10,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-06-11 10:18:28,IC0561010,,,0.694
IC0561IGQ,M-4,16 23 36.799,-26 32 09.06,6,2013-06-11 07:31:38,2013-06-11 07:31:58,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-06-11 09:00:16,IC0561IGQ,,,0.694
IC0571010,M-4,16 23 36.150,-26 32 12.90,6,2013-07-05 04:42:25,2013-07-05 06:01:23,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-07-05 07:20:43,IC0571010,,,0.704
IC0571YHQ,M-4,16 23 36.150,-26 32 12.90,6,2013-07-05 04:39:29,2013-07-05 04:39:49,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-07-05 06:48:25,IC0571YHQ,,,0.704
J92102010,NGC6121,16 23 33.180,-26 31 01.90,15,2004-07-26 19:05:21,2004-07-26 20:47:44,45.000,ACS   ,WFCENTER,F625W;CLEAR2L,6311.060,10120,2005-07-26 19:05:51,J92102010,,,0.704
J92102020,NGC6121,16 23 33.180,-26 31 01.90,15,2004-07-26 19:24:34,2004-07-26 20:38:48,390.000,ACS   ,WFCENTER,F658N;CLEAR2L,6583.951,10120,2005-07-26 19:25:24,J92102020,,,0.704
J92102EFQ,NGC6121,16 23 33.180,-26 31 01.90,15,2004-07-26 19:14:54,2004-07-26 19:15:35,40.000,ACS   ,WFCENTER,CLEAR1L;F435W,4328.773,10120,2005-07-27 08:11:36,J92102EFQ,,,0.704
J9DX03010,NGC6121,16 23 33.180,-26 31 01.90,10,2006-04-08 10:51:06,2006-04-08 12:15:41,1180.000,ACS   ,WFCENTER,CLEAR1L;F435W,4328.777,10615,2007-04-08 22:07:22,J9DX03010,,,0.704
J9DX03040,NGC6121,16 23 33.180,-26 31 01.90,10,2006-04-08 14:10:43,2006-04-08 14:24:44,680.000,ACS   ,WFCENTER,CLEAR1L;F435W,4328.777,10615,2007-04-08 23:29:10,J9DX03040,,,0.704
J9DX03050,NGC6121,16 23 33.180,-26 31 01.90,10,2006-04-08 15:21:47,2006-04-08 15:50:36,1260.000,ACS   ,WFCENTER,CLEAR1L;F435W,4328.777,10615,2007-04-09 00:10:05,J9DX03050,,,0.704
J9DX03080,NGC6121,16 23 33.180,-26 31 01.90,10,2006-04-08 18:33:30,2006-04-08 18:47:31,680.000,ACS   ,WFCENTER,CLEAR1L;F435W,4328.777,10615,2007-04-09 04:56:30,J9DX03080,,,0.704
J9DX03090,NGC6121,16 23 33.180,-26 31 01.90,10,2006-04-08 18:55:35,2006-04-08 20:14:58,1290.000,ACS   ,WFCENTER,CLEAR1L;F435W,4328.777,10615,2007-04-09 05:37:15,J9DX03090,,,0.704
IC0581010,M-4,16 23 35.778,-26 32 14.12,6,2013-07-29 10:09:39,2013-07-29 10:51:15,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-07-29 14:30:10,IC0581010,,,0.709
IC0581CKQ,M-4,16 23 35.778,-26 32 14.12,6,2013-07-29 09:24:42,2013-07-29 09:25:02,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-07-29 11:36:19,IC0581CKQ,,,0.709
IC0591010,M-4,16 23 35.397,-26 32 14.72,6,2013-08-22 08:21:28,2013-08-22 09:03:04,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-08-22 12:03:43,IC0591010,,,0.714
IC0591XZQ,M-4,16 23 35.397,-26 32 14.72,6,2013-08-22 08:18:32,2013-08-22 08:18:52,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-08-22 10:58:12,IC0591XZQ,,,0.714
IC050B010,M-4,16 23 34.851,-26 32 14.49,6,2013-09-15 01:34:39,2013-09-15 03:16:55,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2013-09-15 07:52:12,IC050B010,,,0.721
IC050BGVQ,M-4,16 23 34.851,-26 32 14.49,6,2013-09-15 00:24:45,2013-09-15 00:25:05,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2013-09-15 07:45:47,IC050BGVQ,,,0.721
IC050L010,M-4,16 23 34.316,-26 32 13.00,6,2012-10-09 01:01:01,2012-10-09 02:37:00,1960.000,WFC3  ,UVIS-CENTER,F467M,4682.600,12911,2012-10-09 03:54:29,IC050L010,,,0.727
IC050LFAQ,M-4,16 23 34.316,-26 32 13.00,6,2012-10-09 00:58:05,2012-10-09 00:58:25,20.000,WFC3  ,UVIS-CENTER,F775W,7651.200,12911,2012-10-09 02:24:48,IC050LFAQ,,,0.727
J8FE02010,NGC6121-CALIB,16 23 39.155,-26 31 02.12,5,2003-01-19 19:20:31,2003-01-19 19:52:09,1440.000,ACS   ,WFC,F775W;CLEAR2L,7693.394,9578,2003-01-20 15:49:40,J8FE02010,,,0.975
J8FE02011,NGC6121-CALIB,16 23 39.155,-26 31 02.12,5,2003-01-19 19:20:31,2003-01-19 19:34:49,720.000,ACS   ,WFC,F775W;CLEAR2L,7693.394,9578,2003-01-20 15:49:40,,,,0.975
J8FE01012,NGC6121-CALIB,16 23 39.185,-26 31 02.56,5,2002-07-14 04:14:16,2002-07-14 04:28:33,720.000,ACS   ,WFC,F775W;CLEAR2L,7693.320,9578,2002-07-14 13:10:36,,,,0.978
J8FE03012,NGC6121-CALIB,16 23 39.385,-26 31 05.01,5,2003-06-19 05:29:36,2003-06-19 05:43:53,720.000,ACS   ,WFC,F775W;CLEAR2L,7693.453,9578,2003-06-19 11:25:30,,,,0.997
U5DZ0105R,M4-CTR,16 23 39.864,-26 31 29.27,4,2000-04-22 15:18:14,2000-04-22 15:18:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:48:58,U5DZ0105R,,,1.000
U5DZ010CR,M4-CTR,16 23 39.902,-26 31 29.65,4,2000-04-22 19:27:14,2000-04-22 19:38:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 04:12:08,U5DZ010CR,,,1.008
U5DZ0109R,M4-CTR,16 23 39.910,-26 31 29.13,4,2000-04-22 17:45:14,2000-04-22 17:56:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 04:12:07,U5DZ0109R,,,1.010
U5DZ0104R,M4-CTR,16 23 39.913,-26 31 29.39,4,2000-04-22 15:13:14,2000-04-22 15:13:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:48:14,U5DZ0104R,,,1.010
U5DZ010BR,M4-CTR,16 23 39.946,-26 31 29.75,4,2000-04-22 18:19:14,2000-04-22 18:30:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 04:05:16,U5DZ010BR,,,1.017
U5DZ0108M,M4-CTR,16 23 39.954,-26 31 29.23,4,2000-04-22 16:43:14,2000-04-22 16:54:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 04:17:02,U5DZ0108M,,,1.020
U5DZ0103R,M4-CTR,16 23 39.963,-26 31 29.50,4,2000-04-22 15:08:14,2000-04-22 15:08:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:47:17,U5DZ0103R,,,1.021
U5DZ010AR,M4-CTR,16 23 39.990,-26 31 29.85,4,2000-04-22 18:02:14,2000-04-22 18:13:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 04:03:12,U5DZ010AR,,,1.027
U5DZ0107R,M4-CTR,16 23 39.998,-26 31 29.33,4,2000-04-22 16:26:14,2000-04-22 16:37:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:57:08,U5DZ0107R,,,1.029
U5DZ0101R,M4-CTR,16 23 40.012,-26 31 29.62,4,2000-04-22 14:46:14,2000-04-22 14:57:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:45:38,U5DZ0101R,,,1.032
U5DZ0102R,M4-CTR,16 23 40.012,-26 31 29.62,4,2000-04-22 15:03:14,2000-04-22 15:03:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:42:38,U5DZ0102R,,,1.032
U2HE020EN,M4-CORE,16 23 40.048,-26 31 30.48,24,1995-04-05 19:25:17,1995-04-05 19:41:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 18:16:53,U2HE020EN,,,1.040
U2HE020FN,M4-CORE,16 23 40.049,-26 31 30.41,24,1995-04-05 20:40:17,1995-04-05 20:56:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 18:26:00,U2HE020FN,,,1.040
U2HE010FP,M4-CORE,16 23 40.049,-26 31 30.38,24,1995-04-04 20:32:17,1995-04-04 20:43:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-07 01:17:54,U2HE010FP,,,1.040
U2HE010GP,M4-CORE,16 23 40.049,-26 31 30.38,24,1995-04-04 20:47:17,1995-04-04 21:12:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-07 01:13:29,U2HE010GP,,,1.040
U2HE020DN,M4-CORE,16 23 40.050,-26 31 30.52,24,1995-04-05 19:03:17,1995-04-05 19:19:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 18:10:03,U2HE020DN,,,1.040
U2HE0101T,M4-CORE,16 23 40.050,-26 31 30.29,24,1995-04-04 09:29:17,1995-04-04 09:39:17,600.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-04 22:26:40,U2HE0101T,,,1.041
U2HE0102T,M4-CORE,16 23 40.050,-26 31 30.29,24,1995-04-04 09:43:17,1995-04-04 10:04:57,1300.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-05 21:58:01,U2HE0102T,,,1.041
U2HE0201T,M4-CORE,16 23 40.050,-26 31 30.29,24,1995-04-05 09:35:17,1995-04-05 09:51:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-05 23:45:43,U2HE0201T,,,1.041
U5DZ0106R,M4-CTR,16 23 40.050,-26 31 29.67,4,2000-04-22 16:09:14,2000-04-22 16:20:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-23 03:50:35,U5DZ0106R,,,1.041
U2HE010DN,M4-CORE,16 23 40.052,-26 31 30.44,24,1995-04-04 18:55:17,1995-04-04 19:06:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-05 22:50:12,U2HE010DN,,,1.041
U2HE010EN,M4-CORE,16 23 40.052,-26 31 30.44,24,1995-04-04 19:10:17,1995-04-04 19:35:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-07 01:08:55,U2HE010EN,,,1.041
U2HE0202T,M4-CORE,16 23 40.053,-26 31 30.26,24,1995-04-05 09:57:17,1995-04-05 10:13:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-05 23:50:11,U2HE0202T,,,1.041
U2HE020CT,M4-CORE,16 23 40.055,-26 31 30.52,24,1995-04-05 17:49:17,1995-04-05 18:05:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 15:25:12,U2HE020CT,,,1.041
U2HE0103T,M4-CORE,16 23 40.055,-26 31 30.25,24,1995-04-04 10:52:17,1995-04-04 11:03:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-05 22:03:10,U2HE0103T,,,1.042
U2HE0104T,M4-CORE,16 23 40.055,-26 31 30.25,24,1995-04-04 11:07:17,1995-04-04 11:32:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-05 22:08:24,U2HE0104T,,,1.042
U2HE0203T,M4-CORE,16 23 40.058,-26 31 30.27,24,1995-04-05 11:00:17,1995-04-05 11:16:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-05 23:54:59,U2HE0203T,,,1.042
U2HE010BM,M4-CORE,16 23 40.059,-26 31 30.46,24,1995-04-04 17:18:17,1995-04-04 17:29:57,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,5461,1996-04-05 22:41:07,U2HE010BM,,,1.042
U2HE010CM,M4-CORE,16 23 40.059,-26 31 30.46,24,1995-04-04 17:33:17,1995-04-04 17:58:17,1500.000,WFPC2 ,PC1-FIX,F336W,3344.000,5461,1996-04-05 22:45:33,U2HE010CM,,,1.042
U2HE020BT,M4-CORE,16 23 40.060,-26 31 30.54,24,1995-04-05 17:27:17,1995-04-05 17:43:57,1000.000,WFPC2 ,PC1-FIX,F555W,5439.000,5461,1996-04-06 15:20:37,U2HE020BT,,,1.043
