Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U5DZ020CM,M4-NEAR,16 23 42.682,-26 30 48.35,4,2000-04-28 01:07:14,2000-04-28 01:18:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-05-01 13:11:46,U5DZ020CM,,,1.783
J90A04MQQ,JUN03IMAGE03011,16 23 41.689,-26 30 25.99,7,2004-07-25 10:38:31,2004-07-25 10:38:33,0.508,ACS   ,WFC,F775W;CLEAR2L,7693.609,10146,2005-07-25 20:35:31,J90A04MQQ,,,1.785
J90A05010,JUN03IMAGE03011,16 23 41.687,-26 30 25.82,7,2004-08-13 13:57:48,2004-08-13 16:12:39,4776.000,ACS   ,WFC,F606W;CLEAR2L,5919.270,10146,2005-08-13 14:18:06,J90A05010,,,1.786
J90A05W1Q,JUN03IMAGE03011,16 23 41.702,-26 30 25.96,7,2004-08-13 15:27:39,2004-08-13 15:27:50,10.000,ACS   ,WFC,F775W;CLEAR2L,7693.616,10146,2005-08-13 23:04:23,J90A05W1Q,,,1.787
U5DZ0204R,M4-NEAR,16 23 42.693,-26 30 48.09,4,2000-04-27 20:09:14,2000-04-27 20:09:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-28 05:19:40,U5DZ0204R,,,1.787
J8FE03010,NGC6121-CALIB,16 23 41.695,-26 30 25.79,5,2003-06-19 03:57:00,2003-06-19 05:43:53,1440.000,ACS   ,WFC,F775W;CLEAR2L,7693.453,9578,2003-06-19 11:25:30,J8FE03010,,,1.788
J8FE03011,NGC6121-CALIB,16 23 41.695,-26 30 25.79,5,2003-06-19 03:57:00,2003-06-19 04:11:17,720.000,ACS   ,WFC,F775W;CLEAR2L,7693.453,9578,2003-06-19 11:25:30,,,,1.788
U5DZ0209R,M4-NEAR,16 23 42.690,-26 30 47.83,4,2000-04-27 22:07:14,2000-04-27 22:18:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-28 08:55:46,U5DZ0209R,,,1.788
J90A04010,JUN03IMAGE03011,16 23 41.700,-26 30 25.79,7,2004-07-25 09:07:12,2004-07-25 11:22:57,4786.000,ACS   ,WFC,F606W;CLEAR2L,5919.272,10146,2005-07-25 09:27:30,J90A04010,,,1.789
U5DZ020BR,M4-NEAR,16 23 42.726,-26 30 48.45,4,2000-04-27 23:46:14,2000-04-27 23:57:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-28 16:00:59,U5DZ020BR,,,1.791
J90A02010,JUL02IMAGE01011,16 23 41.877,-26 30 28.24,7,2004-08-05 12:20:46,2004-08-05 14:36:14,4866.000,ACS   ,WFC,F606W;CLEAR2L,5919.271,10146,2005-08-05 12:41:04,J90A02010,,,1.796
U5DZ0203R,M4-NEAR,16 23 42.742,-26 30 48.20,4,2000-04-27 19:12:14,2000-04-27 19:12:34,20.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-28 04:57:01,U5DZ0203R,,,1.796
U5DZ0208R,M4-NEAR,16 23 42.734,-26 30 47.93,4,2000-04-27 21:50:14,2000-04-27 22:01:54,700.000,WFPC2 ,PC1-FIX,F814W,8012.000,8153,2001-04-28 05:12:17,U5DZ0208R,,,1.797
J90A03010,JUL02IMAGE01011,16 23 41.889,-26 30 28.25,7,2004-08-08 09:10:23,2004-08-08 11:27:28,4954.000,ACS   ,WFC,F606W;CLEAR2L,5919.270,10146,2005-08-08 09:30:41,J90A03010,,,1.798
