Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U33PA101T,NGC5904-ZNG1,15 18 36.110,+02 04 54.37,1,1996-02-15 03:31:16,1996-02-15 03:34:36,200.000,WFPC2 ,PC1,F656N,6564.000,5865,1997-02-15 12:54:25,U33PA101T,,,0.723
U33PA102T,NGC5904-ZNG1,15 18 36.110,+02 04 54.37,1,1996-02-15 03:37:16,1996-02-15 03:42:16,300.000,WFPC2 ,PC1,F656N,6564.000,5865,1997-02-15 13:12:47,U33PA102T,,,0.723
U3KI0301M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 08:47:13,1997-07-26 09:08:53,1300.000,WFPC2 ,PC1-FIX,F255W,2599.000,6607,1998-07-28 16:07:27,U3KI0301M,,,0.390
U3KI0302M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 09:12:13,1997-07-26 09:18:53,400.000,WFPC2 ,PC1-FIX,F336W,3344.000,6607,1998-07-28 15:54:19,U3KI0302M,,,0.390
U3KI0303M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 09:22:13,1997-07-26 09:22:43,30.000,WFPC2 ,PC1-FIX,F555W,5439.000,6607,1998-07-28 15:58:06,U3KI0303M,,,0.390
U3KI0304M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 09:24:13,1997-07-26 09:24:43,30.000,WFPC2 ,PC1-FIX,F555W,5439.000,6607,1998-07-28 15:55:34,U3KI0304M,,,0.390
U3KI0305M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 09:26:13,1997-07-26 09:26:43,30.000,WFPC2 ,PC1-FIX,F555W,5439.000,6607,1998-07-28 15:58:14,U3KI0305M,,,0.390
U3KI0306M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 09:28:13,1997-07-26 09:28:16,3.000,WFPC2 ,PC1-FIX,F555W,5439.000,6607,1998-07-28 16:00:46,U3KI0306M,,,0.390
U3KI0307M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 09:30:13,1997-07-26 09:30:16,3.000,WFPC2 ,PC1-FIX,F555W,5439.000,6607,1998-07-28 16:06:16,U3KI0307M,,,0.390
U3KI0308M,NGC5904,15 18 31.766,+02 05 00.23,16,1997-07-26 10:20:13,1997-07-26 10:28:33,500.000,WFPC2 ,PC1-FIX,F160BW,1522.000,6607,1998-07-28 16:02:52,U3KI0308M,,,0.390
U3KI0309M,NGC5904,15 18 31.733,+02 05 00.30,16,1997-07-26 10:34:13,1997-07-26 10:55:53,1300.000,WFPC2 ,PC1-FIX,F255W,2599.000,6607,1998-07-28 16:05:35,U3KI0309M,,,0.398
U3KI030AM,NGC5904,15 18 31.733,+02 05 00.30,16,1997-07-26 10:59:13,1997-07-26 11:05:53,400.000,WFPC2 ,PC1-FIX,F336W,3344.000,6607,1998-07-28 18:38:58,U3KI030AM,,,0.398
U3KI030BM,NGC5904,15 18 31.733,+02 05 00.30,16,1997-07-26 11:57:13,1997-07-26 12:05:33,500.000,WFPC2 ,PC1-FIX,F160BW,1522.000,6607,1998-07-28 18:20:54,U3KI030BM,,,0.398
U3KI030CM,NGC5904,15 18 31.700,+02 05 00.37,16,1997-07-26 12:11:13,1997-07-26 12:32:53,1300.000,WFPC2 ,PC1-FIX,F255W,2599.000,6607,1998-07-28 18:44:31,U3KI030CM,,,0.406
