Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U28N0201T,IRAS1833-2357,18 36 24.998,-23 55 12.45,9,1994-04-07 15:04:17,1994-04-07 15:19:17,900.000,WFPC2 ,PC1-FIX,F502N,5012.000,5404,1995-04-07 23:18:25,U28N0201T,,,0.954
U28N0202T,IRAS1833-2357,18 36 24.998,-23 55 12.45,9,1994-04-07 15:22:17,1994-04-07 15:37:17,900.000,WFPC2 ,PC1-FIX,F502N,5012.000,5404,1995-04-07 23:23:54,U28N0202T,,,0.954
U28N0203T,IRAS1833-2357,18 36 24.998,-23 55 12.45,9,1994-04-07 16:33:17,1994-04-07 16:48:17,900.000,WFPC2 ,PC1-FIX,F502N,5012.000,5404,1995-04-07 23:29:17,U28N0203T,,,0.954
U28N0204T,IRAS1833-2357,18 36 24.998,-23 55 12.45,9,1994-04-07 16:51:17,1994-04-07 17:06:17,900.000,WFPC2 ,PC1-FIX,F502N,5012.000,5404,1995-04-07 23:34:41,U28N0204T,,,0.954
U2DS0201T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 10:45:16,1995-03-19 10:45:56,40.000,WFPC2 ,PC1-FIX,F439W,4311.000,5344,1996-03-20 02:00:18,U2DS0201T,,,0.592
U2DS0202T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 10:47:17,1995-03-19 10:53:57,400.000,WFPC2 ,PC1-FIX,F439W,4311.000,5344,1996-03-20 02:04:46,U2DS0202T,,,0.592
U2DS0203T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 10:56:17,1995-03-19 11:02:57,400.000,WFPC2 ,PC1-FIX,F439W,4311.000,5344,1996-03-20 02:09:14,U2DS0203T,,,0.592
U2DS0204T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 11:06:16,1995-03-19 11:06:26,10.000,WFPC2 ,PC1-FIX,F675W,6717.000,5344,1996-03-20 02:13:36,U2DS0204T,,,0.592
U2DS0205T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 11:08:16,1995-03-19 11:09:56,100.000,WFPC2 ,PC1-FIX,F675W,6717.000,5344,1996-03-20 02:18:00,U2DS0205T,,,0.592
U2DS0206T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 11:11:16,1995-03-19 11:12:56,100.000,WFPC2 ,PC1-FIX,F675W,6717.000,5344,1996-03-20 02:22:44,U2DS0206T,,,0.592
U2DS0207T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 11:15:16,1995-03-19 11:17:16,120.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1996-03-20 02:27:31,U2DS0207T,,,0.592
U2DS0208T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 12:11:17,1995-03-19 12:29:37,1100.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1996-03-20 02:32:46,U2DS0208T,,,0.592
U2DS0209T,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 12:32:17,1995-03-19 12:50:37,1100.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1996-03-20 02:37:29,U2DS0209T,,,0.592
U2DS020AT,NGC6656,18 36 26.444,-23 54 08.12,6,1995-03-19 13:48:17,1995-03-19 14:06:37,1100.000,WFPC2 ,PC1-FIX,F656N,6564.000,5344,1996-03-20 02:42:12,U2DS020AT,,,0.592
U5330101R,NGC6656,18 36 28.207,-23 53 19.15,13,1999-02-22 21:14:13,1999-02-22 21:18:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-23 03:50:59,U5330101R,,,1.373
U5330102R,NGC6656,18 36 28.207,-23 53 19.15,13,1999-02-22 21:20:13,1999-02-22 21:24:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-23 03:51:51,U5330102R,,,1.373
U5330103R,NGC6656,18 36 21.356,-23 53 43.59,13,1999-02-22 21:29:13,1999-02-22 21:33:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-23 03:54:55,U5330103R,,,0.813
U5330104R,NGC6656,18 36 21.356,-23 53 43.59,13,1999-02-22 21:35:13,1999-02-22 21:39:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-23 03:56:00,U5330104R,,,0.813
U5330105R,NGC6656,18 36 25.861,-23 55 14.17,13,1999-02-22 21:44:13,1999-02-22 21:48:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-23 03:52:45,U5330105R,,,1.048
U5330106R,NGC6656,18 36 25.861,-23 55 14.17,13,1999-02-22 21:50:13,1999-02-22 21:54:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-23 03:53:33,U5330106R,,,1.048
U5330201R,NGC6656,18 36 28.207,-23 53 19.15,13,1999-02-25 15:33:13,1999-02-25 15:37:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-26 13:32:25,U5330201R,,,1.373
U5330202R,NGC6656,18 36 28.207,-23 53 19.15,13,1999-02-25 15:39:13,1999-02-25 15:43:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-26 13:26:07,U5330202R,,,1.373
U5330203R,NGC6656,18 36 21.356,-23 53 43.59,13,1999-02-25 16:55:13,1999-02-25 16:59:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-26 13:30:22,U5330203R,,,0.813
U5330204M,NGC6656,18 36 21.356,-23 53 43.59,13,1999-02-25 17:01:13,1999-02-25 17:05:33,260.000,WFPC2 ,PC1-FIX,F814W,8012.000,7615,2000-02-26 13:39:40,U5330204M,,,0.813
